model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
baseline_bce_weighted,unstable_angina_ac_ischemia,106,0.004277298,0.8530705108011145,0.0299443293766086,0.0,0.0,0.0,0.9957227019611008
baseline_bce_weighted,pericardial_disease_tamponade,108,0.004358002,0.7638033287401044,0.0185288755863774,0.0436893203883495,0.0833333333333333,0.0573248407643312,0.9880558469857156
baseline_focal,hypertension_crisis,5872,0.23694617,0.9241641309328428,0.74969775006232,0.7987421383647799,0.3244209809264305,0.4614266682814582,0.8205552417076911
baseline_focal,afib_aflutter,1834,0.07400533,0.9454530478941628,0.6879934993852939,0.8614457831325302,0.311886586695747,0.4579663730984787,0.9453635703333064
baseline_focal,chronic_ischemic_disease,1980,0.079896696,0.9055950811509532,0.4455191108547607,0.8260869565217391,0.0287878787878787,0.0556368960468521,0.9219191348559438
baseline_focal,heart_failure_acute,993,0.040069405,0.937432005966182,0.415218968967764,0.6363636363636364,0.0070493454179254,0.0139442231075697,0.9600516503914132
baseline_focal,brady_heart_block_conduction,380,0.01533371,0.9144984341231738,0.236615596880901,1.0,0.0263157894736842,0.0512820512820512,0.9850698087321444
baseline_focal,stroke_tia,359,0.01448632,0.8870842669993364,0.2192412427248887,1.0,0.0055710306406685,0.0110803324099723,0.985594383019934
baseline_focal,heart_failure_chronic,700,0.028246308,0.9136189447957572,0.2026570726328795,0.0,0.0,0.0,0.9717536921959486
baseline_focal,ventricular_arrhythmias_arrest,174,0.007021225,0.9326155964605474,0.1998576960730592,0.0,0.0,0.0,0.9929787749172788
baseline_focal,ami_stemi,55,0.0022193529,0.9194174935752968,0.1895146995113342,0.0,0.0,0.0,0.9977806472439674
baseline_focal,valvular_endocardial_disease,622,0.025098862,0.9078664676540106,0.1879795031289308,0.0,0.0,0.0,0.9749011379226858
baseline_focal,cardiomyopathy_myocarditis,280,0.011298523,0.9244994577702113,0.1722775453473328,0.0,0.0,0.0,0.9887014768783796
baseline_focal,ami_nstemi,304,0.012266968,0.9049166329808508,0.148824441228297,0.0,0.0,0.0,0.9877330320393836
baseline_focal,supraventricular_tachyarrhythmias,164,0.0066177063,0.880339638456097,0.1342948819374,1.0,0.0304878048780487,0.059171597633136,0.9935840529416512
baseline_focal,aortic_peripheral_vascular,408,0.016463563,0.87553345577174,0.0913274542649245,0.0,0.0,0.0,0.9835364377370672
baseline_focal,pe_dvt_venous_thromboembolism,327,0.013195061,0.843063243540998,0.0703752267956285,0.0,0.0,0.0,0.9868049390686788
baseline_focal,unstable_angina_ac_ischemia,106,0.004277298,0.8935284303440513,0.0623523277903541,0.0,0.0,0.0,0.9957227019611008
baseline_focal,pericardial_disease_tamponade,108,0.004358002,0.865855383834836,0.0337816887731252,0.0,0.0,0.0,0.9956419982245178
large,hypertension_crisis,5872,0.23694617,0.9237731124918408,0.7452377038396918,0.7056005895357406,0.6522479564032697,0.6778761061946903,0.8531191994189331
large,afib_aflutter,1834,0.07400533,0.9476114410865664,0.6903341223075785,0.7863475177304965,0.4836423118865867,0.5989196488858879,0.9520619804696956
large,chronic_ischemic_disease,1980,0.079896696,0.9082193525466044,0.454583425767264,0.6343283582089553,0.1717171717171717,0.2702702702702703,0.9259139698168024
large,heart_failure_acute,993,0.040069405,0.9419681517734148,0.418193850527944,0.6046511627906976,0.0785498489425981,0.1390374331550802,0.9610200952304092
large,ami_stemi,55,0.0022193529,0.9450082170023936,0.2479814351902561,0.6666666666666666,0.0363636363636363,0.0689655172413793,0.9978209991122589
large,brady_heart_block_conduction,380,0.01533371,0.915923036938301,0.223741317793238,0.6666666666666666,0.0526315789473684,0.0975609756097561,0.9850698087321444
large,heart_failure_chronic,700,0.028246308,0.9163394710928138,0.2044857512687368,1.0,0.0014285714285714,0.0028530670470756,0.9717940440642402
large,stroke_tia,359,0.01448632,0.8886150857615492,0.2019559361750793,0.5483870967741935,0.0473537604456824,0.0871794871794871,0.9856347348882252
large,cardiomyopathy_myocarditis,280,0.011298523,0.920084949333582,0.1834610690243063,1.0,0.0071428571428571,0.0141843971631205,0.9887821806149624
large,ventricular_arrhythmias_arrest,174,0.007021225,0.9339413264352868,0.180761012864017,0.5,0.028735632183908,0.0543478260869565,0.9929787749172788
large,valvular_endocardial_disease,622,0.025098862,0.9026623820830052,0.1800911630960035,0.0,0.0,0.0,0.9749011379226858
large,ami_nstemi,304,0.012266968,0.9099329526836129,0.1599812278221992,0.4347826086956521,0.0328947368421052,0.0611620795107033,0.9876119764345088
large,supraventricular_tachyarrhythmias,164,0.0066177063,0.8848297101664656,0.1498479651659915,1.0,0.0304878048780487,0.059171597633136,0.9935840529416512
large,aortic_peripheral_vascular,408,0.016463563,0.8802283693488884,0.09064876714513,0.0,0.0,0.0,0.9835364377370672
large,pe_dvt_venous_thromboembolism,327,0.013195061,0.8410892627474666,0.0769997560038882,0.0,0.0,0.0,0.9868049390686788
large,unstable_angina_ac_ischemia,106,0.004277298,0.8953249204023771,0.0430793906914774,0.0,0.0,0.0,0.9957227019611008
large,pericardial_disease_tamponade,108,0.004358002,0.8687518575558618,0.0306353012960682,0.0,0.0,0.0,0.9956419982245178
medium,hypertension_crisis,5872,0.23694617,0.9244795861869718,0.7481790243179599,0.7004132231404959,0.6927792915531336,0.6965753424657535,0.8569929787749173
medium,afib_aflutter,1834,0.07400533,0.9474091203116466,0.6953945448868198,0.7897977132805629,0.4896401308615049,0.6045102659037361,0.9525865547574852
medium,chronic_ischemic_disease,1980,0.079896696,0.9069603920088528,0.4444405629637007,0.5898617511520737,0.1939393939393939,0.2919042189281642,0.924824469372932
medium,heart_failure_acute,993,0.040069405,0.9391573965761508,0.4276933343095838,0.6505576208178439,0.1762336354481369,0.277337559429477,0.9631990961181502
medium,brady_heart_block_conduction,380,0.01533371,0.9180569754851846,0.2357355108724929,0.9333333333333332,0.0368421052631578,0.070886075949367,0.9851908643370187
medium,stroke_tia,359,0.01448632,0.8839897822238661,0.2134608846882626,0.6222222222222222,0.0779944289693593,0.1386138613861386,0.9859575498345572
medium,cardiomyopathy_myocarditis,280,0.011298523,0.9250055389064448,0.2013264122207811,0.625,0.0178571428571428,0.0347222222222222,0.9887821806149624
medium,valvular_endocardial_disease,622,0.025098862,0.9065958987244735,0.1990953502252865,0.0,0.0,0.0,0.9749011379226858
