model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
xgboost_baseline,label_pe_dvt_venous_thromboembolism,332,0.0130533930958559,0.8652767791747021,0.0725485986370825,0.0,0.0,0.0,0.986946606904144
xgboost_baseline,label_pericardial_disease_tamponade,108,0.0042462845010615,0.8647773770769901,0.0362645219449288,0.0,0.0,0.0,0.9957537154989384
xgboost_baseline,label_unstable_angina_ac_ischemia,107,0.0042069670519776,0.8992693328275502,0.02681253776853,0.0,0.0,0.0,0.9957930329480223
xgboost_weighted,label_hypertension_crisis,5895,0.2317763623496107,0.9366870009356032,0.7879173442640062,0.6154202361657791,0.9017811704834604,0.7315764123030345,0.8466226311236927
xgboost_weighted,label_afib_aflutter,1846,0.0725800110088857,0.9513249272313024,0.6984864819229494,0.3420506434205064,0.8927410617551462,0.4945978391356542,0.8675788314854133
xgboost_weighted,label_chronic_ischemic_disease,1988,0.0781630887788,0.9315406749976958,0.4942182599268188,0.3117415826354469,0.9175050301810864,0.4653654802908534,0.8352205708893607
xgboost_weighted,label_heart_failure_acute,999,0.0392781316348195,0.9383721761458614,0.3707176185131255,0.2010038786219484,0.8818818818818819,0.3273875882571535,0.8576708343162696
xgboost_weighted,label_brady_heart_block_conduction,382,0.0150192655500511,0.9310229487064812,0.2446440118406809,0.0964995269631031,0.8010471204188482,0.1722488038277512,0.8843673822442399
xgboost_weighted,label_heart_failure_chronic,702,0.0276008492569002,0.9257315343559884,0.210484993412471,0.1264461132535011,0.8874643874643875,0.2213537040326878,0.8276716206652512
xgboost_weighted,label_valvular_endocardial_disease,625,0.0245734056774396,0.9242093756298118,0.203323903794623,0.1146245059288537,0.8816,0.2028718703976436,0.8297554454666981
xgboost_weighted,label_cardiomyopathy_myocarditis,283,0.0111268380907446,0.9215483356849716,0.1910287045992189,0.072087461564742,0.7455830388692579,0.1314641744548286,0.8903829519540772
xgboost_weighted,label_stroke_tia,368,0.0144688212628764,0.8999290785370102,0.1500867473506391,0.0648064806480648,0.782608695652174,0.1197007481296758,0.833451285680585
xgboost_weighted,label_ventricular_arrhythmias_arrest,182,0.0071557757332704,0.919442568361466,0.1127455248204037,0.0502946954813359,0.7032967032967034,0.0938760542720938,0.9028465833136746
xgboost_weighted,label_ami_nstemi,306,0.0120311394196744,0.9103251483125352,0.105735425569144,0.0563758389261744,0.8235294117647058,0.1055276381909547,0.8320358575135646
xgboost_weighted,label_supraventricular_tachyarrhythmias,164,0.0064480616497601,0.8690783441273272,0.0938915740506383,0.0259379342288096,0.6829268292682927,0.0499776885319054,0.8325863018007391
