year,cause,deaths,deaths_lower,deaths_upper
1984,Chronic respiratory diseases,1972368.6668017416,1570065.55033805,2287629.808423552
1984,Diabetes and kidney diseases,1121084.2748237157,983581.6143055093,1262115.383900796
1984,Diarrheal diseases,3769911.408368777,3179288.459451475,4541813.401187586
1984,Digestive diseases,1698131.42304666,1464926.2799775517,1976676.0216865507
1984,Lower respiratory infections,3100491.271520214,2707292.6360026663,3561959.636314882
1984,Neonatal disorders,3354725.0998913352,3156987.081725692,3568904.87339304
1984,Total cancers,5116446.30689896,4864126.006964439,5422663.566885535
1984,"Tracheal, bronchus, and lung cancer",884479.9253003761,830413.0167898803,989890.1130394333
1984,Tuberculosis,1897008.1495535923,1373148.41148488,2449533.0117846625
1985,Cardiovascular diseases,12508892.646832569,11475136.302037831,13399628.763302252
1985,Chronic respiratory diseases,2016470.573919812,1608299.475765578,2327904.9024941693
1985,Diabetes and kidney diseases,1143142.483107248,1010916.180399443,1288580.5215379207
1985,Diarrheal diseases,3734321.3637149753,3112777.671639977,4509488.830404008
1985,Digestive diseases,1724824.867071356,1502863.565692238,2002885.936143413
1985,Lower respiratory infections,3102678.439698333,2706624.726674132,3521553.770520356
1985,Neonatal disorders,3335924.726877792,3166127.983560855,3538776.87990238
1985,Total cancers,5243088.295219312,4985351.092824577,5579725.939122331
1985,"Tracheal, bronchus, and lung cancer",927559.7722975792,873701.6414507556,1033133.4476574328
1985,Tuberculosis,1891797.5780708487,1399547.607671976,2462479.321098932
1986,Cardiovascular diseases,12471067.340444174,11451766.598331869,13370671.464035548
1986,Chronic respiratory diseases,2045364.5144018552,1614842.2164406078,2359656.2994335108
1986,Diabetes and kidney diseases,1162881.606237541,1027240.966692996,1316107.5332044126
1986,Diarrheal diseases,3685799.0957573783,3104079.2267353176,4514301.2866448425
1986,Digestive diseases,1734963.735936578,1516849.3902211252,2007713.1269138695
1986,Lower respiratory infections,3080173.7115261536,2695215.9231027765,3495292.4216417465
1986,Neonatal disorders,3299529.530066626,3123585.448527681,3497116.8594573718
1986,Total cancers,5334174.914518639,5088695.418128949,5669951.574733905
1986,"Tracheal, bronchus, and lung cancer",945959.3078391054,890640.5951905878,1052599.8243367998
1986,Tuberculosis,1886592.231538253,1405973.8553443337,2441074.0927462988
1987,Cardiovascular diseases,12581132.063745182,11556617.415072428,13464885.479270585
1987,Chronic respiratory diseases,2093681.403697748,1651299.063165411,2435131.1260541026
1987,Diabetes and kidney diseases,1187614.0269782783,1045302.8102961892,1355714.754805422
1987,Diarrheal diseases,3610574.416040975,3043337.643985695,4454886.274234778
1987,Digestive diseases,1756658.2513255808,1542212.1102460665,2031517.1324753836
1987,Lower respiratory infections,3045880.8468517377,2685041.627209995,3433774.434939932
1987,Neonatal disorders,3257881.4339206605,3084452.5937117725,3453726.5269833817
1987,Total cancers,5463461.776032729,5203773.854656378,5773381.443033153
1987,"Tracheal, bronchus, and lung cancer",975058.2148909228,919200.3691656328,1089525.6925590525
1987,Tuberculosis,1891970.528167105,1436867.2886325095,2441464.368055308
1988,Cardiovascular diseases,12808061.41860688,11774268.531070445,13639416.477714488
1988,Chronic respiratory diseases,2153221.783499447,1694791.2830217425,2468163.172759043
1988,Diabetes and kidney diseases,1222672.7408170116,1070286.3276770315,1389672.3055862617
1988,Diarrheal diseases,3512361.019301352,2928231.580977904,4352756.746111011
1988,Digestive diseases,1785116.9469603235,1577361.817996005,2054647.0331085296
1988,Lower respiratory infections,3027748.0895432406,2686562.6165223205,3406919.1794623923
1988,Neonatal disorders,3217815.44646458,3035951.4182942538,3430133.701849998
1988,Total cancers,5641125.4535552105,5366245.220351065,5980990.91153336
1988,"Tracheal, bronchus, and lung cancer",1014106.6422356284,953656.9393897865,1134296.947934132
1988,Tuberculosis,1894306.748687394,1456075.4803417015,2455146.893610957
1989,Cardiovascular diseases,12943329.069581537,11944887.286913384,13866972.34873505
1989,Chronic respiratory diseases,2214089.6098572165,1741765.2489595928,2539862.29590818
1989,Diabetes and kidney diseases,1261511.8843935854,1103512.0849802585,1421427.730690545
1989,Diarrheal diseases,3399289.753943648,2806185.1409096336,4238206.33492642
1989,Digestive diseases,1816230.3403075957,1605923.1843788563,2076489.7400953225
1989,Lower respiratory infections,3003017.7163398853,2673974.254779609,3377958.2621674463
1989,Neonatal disorders,3184129.472583628,2987691.3391823363,3382441.7295027184
1989,Total cancers,5803607.964879779,5515171.615718926,6138214.854889617
1989,"Tracheal, bronchus, and lung cancer",1046145.5174587616,980801.1905700197,1174312.7071216376
1989,Tuberculosis,1895578.940356614,1464332.3932544754,2438074.2966477647
1990,Cardiovascular diseases,13137958.825662356,12200604.880587596,14040764.428180978
