model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
nogate_bce_weighted,ami_nstemi,304,0.0123,0.8693,0.1296,0.3939,0.0428,0.0772,0.9875
nogate_bce_weighted,stroke_tia,359,0.0145,0.827,0.1261,0.236,0.1643,0.1938,0.9802
nogate_bce_weighted,supraventricular_tachyarrhythmias,164,0.0066,0.8242,0.0868,0.2364,0.0793,0.1187,0.9922
nogate_bce_weighted,aortic_peripheral_vascular,408,0.0165,0.8282,0.0582,0.0,0.0,0.0,0.9835
nogate_bce_weighted,pe_dvt_venous_thromboembolism,327,0.0132,0.7547,0.0439,0.0,0.0,0.0,0.9868
nogate_bce_weighted,unstable_angina_ac_ischemia,106,0.0043,0.8577,0.0272,0.0,0.0,0.0,0.9957
nogate_bce_weighted,pericardial_disease_tamponade,108,0.0044,0.7817,0.0177,0.0458,0.0556,0.0502,0.9908
nogate_focal,hypertension_crisis,5872,0.2369,0.9245,0.7477,0.8151,0.2808,0.4177,0.8145
nogate_focal,afib_aflutter,1834,0.074,0.9469,0.6929,0.8787,0.3359,0.486,0.9474
nogate_focal,chronic_ischemic_disease,1980,0.0799,0.9078,0.4451,0.8333,0.0202,0.0394,0.9214
nogate_focal,heart_failure_acute,993,0.0401,0.9406,0.4334,0.9,0.0091,0.0179,0.9603
nogate_focal,brady_heart_block_conduction,380,0.0153,0.918,0.2339,0.0,0.0,0.0,0.9847
nogate_focal,ami_stemi,55,0.0022,0.9385,0.2176,0.0,0.0,0.0,0.9978
nogate_focal,stroke_tia,359,0.0145,0.8905,0.2086,0.0,0.0,0.0,0.9855
nogate_focal,heart_failure_chronic,700,0.0282,0.918,0.2018,0.0,0.0,0.0,0.9718
nogate_focal,valvular_endocardial_disease,622,0.0251,0.9076,0.2014,0.0,0.0,0.0,0.9749
nogate_focal,cardiomyopathy_myocarditis,280,0.0113,0.9253,0.1887,0.0,0.0,0.0,0.9887
nogate_focal,ventricular_arrhythmias_arrest,174,0.007,0.9344,0.1693,0.0,0.0,0.0,0.993
nogate_focal,ami_nstemi,304,0.0123,0.909,0.154,0.0,0.0,0.0,0.9877
nogate_focal,supraventricular_tachyarrhythmias,164,0.0066,0.8788,0.1168,1.0,0.0061,0.0121,0.9934
nogate_focal,aortic_peripheral_vascular,408,0.0165,0.8803,0.092,0.0,0.0,0.0,0.9835
nogate_focal,pe_dvt_venous_thromboembolism,327,0.0132,0.8404,0.0686,0.0,0.0,0.0,0.9868
nogate_focal,unstable_angina_ac_ischemia,106,0.0043,0.9044,0.0585,0.0,0.0,0.0,0.9957
nogate_focal,pericardial_disease_tamponade,108,0.0044,0.8534,0.0306,0.0,0.0,0.0,0.9956
baseline_bce_weighted_weighted,hypertension_crisis,5872,0.2369,0.8733,0.6192,0.3845,0.9974,0.555,0.621
baseline_bce_weighted_weighted,afib_aflutter,1834,0.074,0.9164,0.5653,0.1362,0.9793,0.2391,0.5389
baseline_bce_weighted_weighted,chronic_ischemic_disease,1980,0.0799,0.8747,0.3511,0.1345,0.9949,0.237,0.4881
baseline_bce_weighted_weighted,heart_failure_acute,993,0.0401,0.9129,0.3215,0.077,0.9889,0.1429,0.5247
baseline_bce_weighted_weighted,ami_stemi,55,0.0022,0.7357,0.2449,0.0074,0.6727,0.0147,0.7993
baseline_bce_weighted_weighted,valvular_endocardial_disease,622,0.0251,0.8856,0.1666,0.0413,1.0,0.0793,0.417
baseline_bce_weighted_weighted,brady_heart_block_conduction,380,0.0153,0.8965,0.1651,0.0283,0.9868,0.0551,0.4808
baseline_bce_weighted_weighted,heart_failure_chronic,700,0.0282,0.8877,0.1637,0.0468,0.9986,0.0893,0.425
baseline_bce_weighted_weighted,ventricular_arrhythmias_arrest,174,0.007,0.8905,0.138,0.0114,0.977,0.0226,0.4065
baseline_bce_weighted_weighted,stroke_tia,359,0.0145,0.8422,0.1294,0.0231,1.0,0.0451,0.3868
baseline_bce_weighted_weighted,cardiomyopathy_myocarditis,280,0.0113,0.8968,0.121,0.0197,0.9964,0.0386,0.4385
baseline_bce_weighted_weighted,ami_nstemi,304,0.0123,0.879,0.1044,0.0199,1.0,0.0391,0.3972
baseline_bce_weighted_weighted,aortic_peripheral_vascular,408,0.0165,0.8365,0.0631,0.0264,1.0,0.0515,0.3931
